Name;ISIN;Symbol;Market;Trading Currency;Open;High;Low;Last;Last Date/Time;Time Zone;Volume;Turnover
1000MERCIS;FR0010285965;ALMIL;Euronext Growth Paris;EUR;18.5;18.5;18.45;18.45;13/08/2021 17:29;CET;47;868.15
2020 BULKERS;BMG9156K1018;2020;Oslo Børs;NOK;117;117.5;116;116.5;13/08/2021 16:25;CET;52805;6158549
2CRSI;FR0013341781;2CRSI;Euronext Paris;EUR;4.235;4.26;4.21;4.26;13/08/2021 17:36;CET;5481;23142.155
2MX ORGANIC;FR0014000T90;2MX;Euronext Paris;EUR;9.784;9.88;9.75;9.88;13/08/2021 17:06;CET;2934;28840.141
2MX ORGANIC BS;FR0014000TB2;2MXBS;Euronext Paris;EUR;0.2746;0.2746;0.2746;0.2746;09/08/2021 11:38;CET;3000;823.8
5TH PLANET GAMES;DK0060945467;5PG;Euronext Expand Oslo;NOK;0.999;0.999;0.921;0.932;13/08/2021 16:25;CET;1590931;1513847.75
A TOUTE VITESSE;FR0010050773;MLATV;Euronext Access Paris;EUR;1.48;1.48;1.35;1.35;13/11/2019 16:53;CET;378;521.87
A.S.T. GROUPE;FR0000076887;ASP;Euronext Paris;EUR;6.28;6.32;6.26;6.3;13/08/2021 17:29;CET;2131;13391.74
AALBERTS NV;NL0000852564;AALB;Euronext Amsterdam;EUR;53.14;53.2;52.7;53.08;13/08/2021 17:36;CET;77800;4125191.48
AASEN SPAREBANK;NO0010672181;AASB;Euronext Growth Oslo;NOK;134;134;134;134;13/08/2021 09:00;CET;70;9380
AB INBEV;BE0974293251;ABI;Euronext Brussels;EUR;52.4;52.79;52.08;52.67;13/08/2021 17:35;CET;1556873;81852225.59
AB SCIENCE;FR0010557264;AB;Euronext Paris;EUR;12.19;12.43;12.1;12.25;13/08/2021 17:35;CET;50688;618992.86
ABATTOIR;BE0946377455;-;Euronext Expert Market;EUR;47.7;47.7;47.7;47.7;24/01/2017 11:30;CET;500;23850
ABC ARBITRAGE;FR0004040608;ABCA;Euronext Paris;EUR;7.33;7.33;7.28;7.28;13/08/2021 17:35;CET;14872;108616.07
ABEO;FR0013185857;ABEO;Euronext Paris;EUR;15.55;15.75;15.45;15.45;13/08/2021 13:25;CET;481;7528.45
ABG SUNDAL COLLIER;NO0003021909;ABG;Oslo Børs;NOK;9.69;9.69;9.5;9.57;13/08/2021 16:26;CET;462036;4414003.08
ABIONYX PHARMA;FR0012616852;ABNX;Euronext Paris;EUR;1.08;1.08;1.05;1.064;13/08/2021 17:35;CET;28002;29857.974
ABIVAX;FR0012333284;ABVX;Euronext Paris;EUR;26.5;27.2;26.25;26.75;13/08/2021 17:35;CET;10807;289081.05
ABN AMRO BANK N.V.;NL0011540547;ABN;Euronext Amsterdam;EUR;11.542;11.836;11.486;11.762;13/08/2021 17:36;CET;3505298;41116974.46
ABO GROUP;BE0974278104;ABO;Euronext Brussels, Paris;EUR;6.25;6.25;6.15;6.15;13/08/2021 16:56;CET;4335;26682.75
ACACIA PHARMA;GB00BYWF9Y76;ACPH;Euronext Brussels;EUR;2.22;2.29;2.215;2.23;13/08/2021 17:35;CET;51566;115647.135
ACANTHE DEV.;FR0000064602;ACAN;Euronext Paris;EUR;0.415;0.42;0.405;0.41;13/08/2021 15:32;CET;9953;4148.646
ACCELL GROUP;NL0009767532;ACCEL;Euronext Amsterdam;EUR;41.4;41.7;40.9;41.15;13/08/2021 17:35;CET;39351;1619864.25
ACCENTIS;BE0003696102;ACCB;Euronext Brussels;EUR;0.054;0.054;0.053;0.054;13/08/2021 15:27;CET;218900;11799.54
ACCOR;FR0000120404;AC;Euronext Paris;EUR;28.87;29.32;28.8;28.95;13/08/2021 17:37;CET;670930;19478981.77
ACCOR AC SHARES;FR0014003PZ3;AAC;Euronext Paris;EUR;9.601;9.89;9.601;9.89;13/08/2021 16:11;CET;101;984.68
ACCOR AC WARRANTS;FR0014003QK3;AACW;Euronext Paris;EUR;0.4;0.4;0.4;0.4;30/07/2021 09:00;CET;3;1.2
ACCOR NV21;FR00140015P7;ACNV;Euronext Paris;EUR;-;-;-;-;-;CET;-;-
ACCSYS;GB00BQQFX454;AXS;Euronext Amsterdam;EUR;1.958;1.98;1.956;1.956;13/08/2021 17:35;CET;62270;122763.758
ACHETER-LOUER.FR;FR0010493510;ALALO;Euronext Growth Paris;EUR;0.0123;0.0147;0.0123;0.0127;13/08/2021 17:35;CET;63583874;844849.3153
ACKERMANS V.HAAREN;BE0003764785;ACKB;Euronext Brussels;EUR;149.6;149.8;148.8;149.5;13/08/2021 17:35;CET;9769;1459244.2
ACTEOS;FR0000076861;EOS;Euronext Paris;EUR;2.43;2.45;2.43;2.45;13/08/2021 16:06;CET;366;895.46
ACTIA GROUP;FR0000076655;ATI;Euronext Paris;EUR;3.14;3.18;3.09;3.12;13/08/2021 16:47;CET;12314;39010.44
ACTIVIUM GROUP;FR0010979377;MLACT;Euronext Access Paris;EUR;1.36;1.47;1.36;1.47;12/08/2021 16:30;CET;45;62.3
ACVLHO;BE0010012210;-;Euronext Expert Market;EUR;4500.01;4500.01;4500.01;4500.01;07/07/2015 11:30;CET;3;13500.03
ADA;FR0000053076;ALADA;Euronext Growth Paris;EUR;11.1;11.1;11.1;11.1;13/08/2021 09:00;CET;1;11.1
ADC SIIC;BE0974269012;ALDV;Euronext Paris;EUR;0.12;0.12;0.12;0.12;06/08/2021 16:30;CET;2022;242.64
ADEUNIS;FR0013284627;ALARF;Euronext Growth Paris;EUR;2.56;2.56;2.55;2.56;13/08/2021 13:40;CET;221;564.26
ADEVINTA;NO0010844038;ADE;Oslo Børs;NOK;168.7;172.1;168.6;171.65;13/08/2021 16:26;CET;138985;23789258.6
ADL PARTNER;FR0000062978;ALP;Euronext Paris;EUR;15.85;15.9;15.7;15.7;13/08/2021 16:31;CET;192;3019.05
ADOCIA;FR0011184241;ADOC;Euronext Paris;EUR;9.2;9.2;9.14;9.15;13/08/2021 13:38;CET;981;8983.9
ADOMOS;FR0013247244;ALADO;Euronext Growth Paris;EUR;0.206;0.208;0.205;0.208;13/08/2021 14:54;CET;6504;1347.7395
ADP;FR0010340141;ADP;Euronext Paris;EUR;102.5;102.7;100.75;101.7;13/08/2021 17:36;CET;69026;7012927.55
ADS MARITIME HOLD;CY0108052115;ADS;Euronext Growth Oslo;NOK;1.684;1.754;1.67;1.754;13/08/2021 16:25;CET;78046;132433.846
ADTHINK;FR0010457531;ALADM;Euronext Growth Paris;EUR;1.21;1.25;1.205;1.205;13/08/2021 17:27;CET;18316;22367.3
ADUX;FR0012821890;ADUX;Euronext Paris, Amsterdam;EUR;1.99;2;1.955;1.985;13/08/2021 14:35;CET;556;1105.01
ADVENIS;FR0004152874;ADV;Euronext Paris;EUR;2.26;2.26;2.2;2.2;11/08/2021 09:27;CET;85;190
ADVICENNE;FR0013296746;ADVIC;Euronext Paris, Brussels;EUR;7.5;7.6;7.46;7.48;13/08/2021 17:35;CET;25334;191110.15
ADVINI;FR0000053043;ADVI;Euronext Paris;EUR;20.8;21;20.8;21;13/08/2021 09:38;CET;101;2120.8
ADYEN;NL0012969182;ADYEN;Euronext Amsterdam;EUR;2347.5;2360.5;2328;2356.5;13/08/2021 17:35;CET;36157;84844938
AEDIFICA;BE0003851681;AED;Euronext Brussels, Amsterdam;EUR;122.8;123.8;121.8;123.4;13/08/2021 17:35;CET;24808;3051874.7
AEGA;NO0010626559;AEGA;Euronext Expand Oslo;NOK;2.39;2.395;2.28;2.33;13/08/2021 16:25;CET;96704;225322.415
AEGON;NL0000303709;AGN;Euronext Amsterdam;EUR;4.225;4.305;4.225;4.239;13/08/2021 17:38;CET;16491648;70268805.31
AERKOMM INC;US00774B2088;AKOM;Euronext Paris;EUR;3.38;3.38;3.38;3.38;13/08/2021 09:00;CET;1;3.38
AF GRUPPEN;NO0003078107;AFG;Oslo Børs;NOK;185.6;189;184.2;186.2;13/08/2021 16:25;CET;12136;2270168.8
AFFLUENT MEDICAL;FR0013333077;AFME;Euronext Paris;EUR;6.2;6.2;6.15;6.2;13/08/2021 17:35;CET;3610;22329.04
AG3I;FR0011908045;MLAGI;Euronext Access Paris;EUR;0.5;0.5;0.5;0.5;16/06/2021 11:30;CET;2;1
AGEAS;BE0974264930;AGS;Euronext Brussels;EUR;44.56;44.72;44.36;44.61;13/08/2021 17:35;CET;355568;15847854.96
AGENCE MARIT MINNE;BE0024915838;-;Euronext Expert Market;EUR;-;-;-;-;-;CET;-;-
AGFA-GEVAERT;BE0003755692;AGFB;Euronext Brussels;EUR;4.265;4.33;4.265;4.33;13/08/2021 17:35;CET;160570;691424.68
AGILYX;NO0010872468;AGLX;Euronext Growth Oslo;NOK;25;26;25;25.5;13/08/2021 16:25;CET;121215;3109986.1
AGP MALAGA SOCIMI;ES0105478004;MLAGP;Euronext Access Paris;EUR;2.95;2.95;2.95;2.95;23/11/2020 11:52;CET;2000;5900
AGRIPOWER;FR0013452281;ALAGP;Euronext Growth Paris;EUR;7.92;7.92;7.62;7.66;13/08/2021 17:06;CET;4812;37119.58
AGROGENERATION;FR0010641449;ALAGR;Euronext Growth Paris;EUR;0.155;0.17;0.153;0.169;13/08/2021 17:35;CET;927355;152559.8885
AGUAS DA CURIA;PTCUR0AP0000;CUR;Euronext Access Lisbon;EUR;1.17;1.17;1.17;1.17;06/09/2017 20:30;BST;32;37.44
AHOLD DEL;NL0011794037;AD;Euronext Amsterdam, Brussels;EUR;27.905;27.945;27.675;27.805;13/08/2021 17:37;CET;2554116;71009180.62
AIB GROUP PLC;IE00BF0L3536;A5G;Euronext Dublin;EUR;2.4;2.479;2.4;2.475;13/08/2021 21:03;IST;1422563;3492541.348
AIR FRANCE -KLM;FR0000031122;AF;Euronext Paris, Amsterdam;EUR;4.048;4.075;4.011;4.029;13/08/2021 17:38;CET;2157616;8698332.858
AIR LIQUIDE;FR0000120073;AI;Euronext Paris;EUR;148.2;148.94;147.98;148.78;13/08/2021 17:35;CET;396128;58846026.42
AIR MARINE;FR0013285103;MLAIM;Euronext Access Paris;EUR;1.8;1.8;1.8;1.8;12/08/2021 11:30;CET;1;1.8
AIRBUS;NL0000235190;AIR;Euronext Paris;EUR;114.96;116.34;114.96;115.44;13/08/2021 17:35;CET;681571;78710664.58
AIRTHINGS;NO0010895568;AIRX;Euronext Growth Oslo;NOK;9.46;9.9;9.46;9.83;13/08/2021 16:25;CET;379213;3692540.32
AIRWELL;FR0014003V77;MLAIR;Euronext Access Paris;EUR;4;4;3.95;3.95;13/08/2021 16:30;CET;6285;25075.75
AJAX;NL0000018034;AJAX;Euronext Amsterdam;EUR;15;15;14.8;14.8;13/08/2021 17:35;CET;3288;48961.6
AKASTOR;NO0010215684;AKAST;Oslo Børs;NOK;5.85;6.04;5.85;6;13/08/2021 16:25;CET;70408;422465.18
AKER;NO0010234552;AKER;Oslo Børs;NOK;635.5;635.5;624;627;13/08/2021 16:25;CET;30380;19113590.5
AKER BIOMARINE;NO0010886625;AKBM;Oslo Børs;NOK;48.5;48.5;47.05;47.5;13/08/2021 16:25;CET;85214;4064180.65
AKER BP;NO0010345853;AKRBP;Oslo Børs;NOK;239.3;239.9;236.3;237.3;13/08/2021 16:25;CET;264863;65429388.6
AKER CARBON CAPTUR;NO0010890304;ACC;Oslo Børs;NOK;22.3;23.75;21.75;23.55;13/08/2021 16:28;CET;3877706;89179539.15
AKER CLEAN HYDROGE;NO0010936081;ACH;Euronext Growth Oslo;NOK;7.199;7.199;7.03;7.068;13/08/2021 16:25;CET;239967;1709014.671
AKER HORIZONS;NO0010921232;AKH;Oslo Børs;NOK;27.325;27.33;26.5;26.65;13/08/2021 16:25;CET;957931;25751544.65
AKER OFFSHORE WIND;NO0010890312;AOW;Euronext Growth Oslo;NOK;5.3;5.388;5.184;5.342;13/08/2021 16:25;CET;2904531;15433988.77
AKER SOLUTIONS;NO0010716582;AKSO;Oslo Børs;NOK;15.575;15.575;15.23;15.315;13/08/2021 16:25;CET;2806597;43118456.1
AKKA TECHNOLOGIES;FR0004180537;AKA;Euronext Paris, Brussels;EUR;46.88;47;46.88;46.92;13/08/2021 17:35;CET;27540;1292103.4
AKOBO MINERALS;SE0015193412;AKOBO;Euronext Growth Oslo;NOK;7;7.5;7;7.5;13/08/2021 15:13;CET;3672;26972.168
AKVA GROUP;NO0003097503;AKVA;Oslo Børs;NOK;81;81;78.6;80;13/08/2021 15:47;CET;10389;824094.8
AKWEL;FR0000053027;AKW;Euronext Paris;EUR;23.1;23.35;22.65;22.8;13/08/2021 17:35;CET;9640;222531.625
AKZO NOBEL;NL0013267909;AKZA;Euronext Amsterdam;EUR;106.35;107.6;106.35;107.35;13/08/2021 17:37;CET;289893;31080293.3
ALAN ALLMAN;FR0000062465;AAA;Euronext Paris;EUR;4.56;4.56;4.56;4.56;13/08/2021 11:30;CET;20;91.2
ALBIOMA;FR0000060402;ABIO;Euronext Paris;EUR;34.68;35.1;34.58;34.74;13/08/2021 17:35;CET;28464;990957.58
ALCHIMIE;FR0014000JX7;ALCHI;Euronext Growth Paris;EUR;15.86;16.04;15.84;15.92;13/08/2021 16:59;CET;1210;19266.26
ALD;FR0013258662;ALD;Euronext Paris;EUR;12.02;12.08;11.86;12;13/08/2021 17:35;CET;178035;2130515.3
ALEPH FINANCE;GB00BJ9M4V82;MLALE;Euronext Access Paris;EUR;1.95;1.95;1.95;1.95;24/05/2021 12:03;CET;25000;48750
ALFEN;NL0012817175;ALFEN;Euronext Amsterdam;EUR;90.9;91.8;88.7;90;13/08/2021 17:35;CET;86670;7804140.1
ALIAXIS;BE0941243520;-;Euronext Expert Market;EUR;22;22;22;22;10/08/2021 11:31;CET;5025;110550
ALLFUNDS GROUP;GB00BNTJ3546;ALLFG;Euronext Amsterdam;EUR;15.216;15.348;14.94;14.966;13/08/2021 17:35;CET;78332;1177994.7
ALME INVEST;BE0146350740;-;Euronext Expert Market;EUR;89.91;89.91;89.91;89.91;11/05/2021 11:30;CET;975;87662.25
ALPES (Cie) NV21;FR00140017V1;CDANV;Euronext Paris;EUR;-;-;-;-;-;CET;-;-
ALPES (COMPAGNIE);FR0000053324;CDA;Euronext Paris;EUR;13.06;13.26;13.02;13.1;13/08/2021 17:35;CET;13808;181057.2
ALPHA MOS;FR0013421286;ALM;Euronext Paris;EUR;3.29;3.34;3.14;3.28;13/08/2021 15:46;CET;2829;9135.22
ALSTOM;FR0010220475;ALO;Euronext Paris;EUR;35.95;36.12;35.48;35.5;13/08/2021 17:35;CET;1030266;36775090.25
ALTAMIR;FR0000053837;LTA;Euronext Paris;EUR;23.3;23.37;23.29;23.29;13/08/2021 17:35;CET;3008;70084.035
ALTAREA;FR0000033219;ALTA;Euronext Paris;EUR;195.4;199;195.4;198.8;13/08/2021 17:35;CET;5244;1039242
ALTAREIT;FR0000039216;AREIT;Euronext Paris;EUR;615;615;615;615;13/08/2021 11:30;CET;1;615
ALTEN;FR0000071946;ATE;Euronext Paris;EUR;138;139.3;137.7;138.5;13/08/2021 17:35;CET;21115;2924751.4
ALTERNUS ENERGY GR;IE00BLRPRP89;ALT;Euronext Growth Oslo;NOK;26.745;27.98;26.745;27.98;13/08/2021 16:14;CET;3384;90922.705
ALTHEORA;FR0000061244;ALORA;Euronext Growth Paris;EUR;1.975;1.99;1.975;1.99;13/08/2021 16:21;CET;669;1324.46
ALTRI SGPS;PTALT0AE0002;ALTR;Euronext Lisbon;EUR;5.27;5.27;5.195;5.22;13/08/2021 21:35;BST;206697;1078558.655
ALTUR INVEST.;FR0010395681;ALTUR;Euronext Paris;EUR;5.8;5.85;5.8;5.85;13/08/2021 16:41;CET;4888;28350.9
ALUMEXX N.V.;NL0012194724;ALX;Euronext Amsterdam;EUR;0.93;0.93;0.92;0.92;13/08/2021 14:18;CET;4240;3910.8
ALVEEN;FR0013253812;MLALV;Euronext Access Paris;EUR;1.69;1.69;1.69;1.69;19/07/2021 11:30;CET;1;1.69
AMA CORPORATION;GB00BNKGZC51;ALAMA;Euronext Growth Paris;EUR;5.92;6.19;5.92;6.19;13/08/2021 11:05;CET;289;1731.49
AMATHEON AGRI;NL0010273694;MLAAH;Euronext Access Paris;EUR;0.1;0.1;0.1;0.1;13/08/2021 11:30;CET;12000;1200
AMERICAN SHIPPING;NO0010272065;AMSC;Oslo Børs;NOK;30.45;30.45;30.15;30.3;13/08/2021 16:25;CET;13958;421717.55
AMG;NL0000888691;AMG;Euronext Amsterdam;EUR;28.5;29.14;28.42;28.7;13/08/2021 17:35;CET;208687;6012836.2
AMOEBA;FR0011051598;ALMIB;Euronext Growth Paris;EUR;1.505;1.505;1.46;1.46;13/08/2021 17:35;CET;34798;51205.884
AMPLITUDE SURGICAL;FR0012789667;AMPLI;Euronext Paris;EUR;2.14;2.14;2.14;2.14;13/08/2021 09:00;CET;1;2.14
AMSTERDAM COMMOD.;NL0000313286;ACOMO;Euronext Amsterdam;EUR;24.55;24.95;24.5;24.9;13/08/2021 17:35;CET;14782;365091.3
AMUNDI;FR0004125920;AMUN;Euronext Paris;EUR;81.5;82.2;81.5;81.85;13/08/2021 17:35;CET;54068;4425350.7
ANDFJORD SALMON;NO0010829765;ANDF;Euronext Growth Oslo;NOK;41.5;42.85;41.4;41.7;13/08/2021 16:25;CET;9161;382325.7
ANS ROCOUR;BE0003243426;-;Euronext Expert Market;EUR;89.3;89.3;89.3;89.3;21/02/2017 11:30;CET;31;2768.3
ANTARES CERT;BE0003676872;ANT;Euronext Brussels;EUR;7.84;7.84;7.84;7.84;13/08/2021 16:30;CET;30;235.2
ANTEVENIO;ES0109429037;ALANT;Euronext Growth Paris;EUR;5.05;5.05;5.05;5.05;13/08/2021 09:00;CET;1;5.05
APERAM;LU0569974404;APAM;Euronext Amsterdam, Brussels, Paris;EUR;53.96;54.68;53.76;54.68;13/08/2021 17:35;CET;173091;9403593.52
APTORUM GROUP CL A;KYG6096M1069;APM;Euronext Paris;EUR;2.7;2.7;2.7;2.7;15/01/2021 13:35;CET;426;1150.2
AQUA BIO TECHNO;NO0010307135;ABT;Euronext Expand Oslo;NOK;17.9;18.3;17.5;17.5;13/08/2021 16:29;CET;54784;975687.85
AQUALISBRAEMAR LOC;NO0010715394;AQUA;Oslo Børs;NOK;9;9.06;8.82;9.06;13/08/2021 15:09;CET;44663;400999.56
AQUILA;FR0010340711;ALAQU;Euronext Growth Paris;EUR;6.75;6.75;6.75;6.75;13/08/2021 11:30;CET;1;6.75
ARAMIS GROUP;FR0014003U94;ARAMI;Euronext Paris;EUR;18.6;18.6;18.06;18.22;13/08/2021 17:35;CET;20403;372430.62
ARCADIS;NL0006237562;ARCAD;Euronext Amsterdam;EUR;40.06;40.5;40;40;13/08/2021 17:35;CET;147775;5931117.04
ARCELOR MITT LUX;LU0006047129;-;Euronext Expert Market;EUR;-;-;-;-;-;CET;-;-
ARCELORMITT SCHIFF;LU0006067663;-;Euronext Expert Market;EUR;0.9;0.9;0.9;0.9;27/07/2021 11:30;CET;26;23.4
ARCELORMITTAL SA;LU1598757687;MT;Euronext Amsterdam, Paris;EUR;30.665;30.88;30.52;30.88;13/08/2021 17:38;CET;3070273;94406151.09
ARCHER;BMG0451H1170;ARCH;Oslo Børs;NOK;4.35;4.35;4.115;4.195;13/08/2021 16:25;CET;362282;1522896.295
ARCHOS;FR0000182479;ALJXR;Euronext Growth Paris;EUR;0.0049;0.005;0.0047;0.0047;13/08/2021 17:37;CET;11386304;54872.936
ARCTIC BIOSCIENCE;NO0010859580;ABS;Euronext Growth Oslo;NOK;20.395;20.395;19.002;20.3;13/08/2021 16:40;CET;14160;284456.3
ARCTIC FISH HOLDIN;NO0010917719;AFISH;Euronext Growth Oslo;NOK;62.48;62.48;60.01;60.01;13/08/2021 14:07;CET;31;1934.41
ARCTICZYMES TECHNO;NO0010014632;AZT;Oslo Børs;NOK;103.9;105.5;103;104.8;13/08/2021 16:25;CET;56294;5881564.4
ARCURE;FR0013398997;ALCUR;Euronext Growth Paris;EUR;3.71;3.72;3.71;3.72;13/08/2021 15:34;CET;46;171.11
ARCUS;NO0010776875;ARCUS;Oslo Børs;NOK;48;48.2;47.8;47.9;13/08/2021 16:25;CET;43115;2069278.8
ARDOIN ST AMAND A;FR0005057635;MLARD;Euronext Access Paris;EUR;180;180;180;180;13/08/2021 16:51;CET;16;2880
ARDOIN ST AMAND B;FR0004070795;ARDO;Euronext Access Paris;EUR;72;72;72;72;03/08/2020 16:30;CET;2;144
ARENDALS FOSSEKOMP;NO0003572802;AFK;Oslo Børs;NOK;321;322;318;322;13/08/2021 16:25;CET;4991;1599334
ARGAN;FR0010481960;ARG;Euronext Paris;EUR;113.8;113.8;112.2;113;13/08/2021 17:35;CET;1268;143573.4
ARGENX SE;NL0010832176;ARGX;Euronext Brussels;EUR;266.5;267.7;263.3;266.6;13/08/2021 17:35;CET;16171;4300298.4
ARGEO;NO0010946593;ARGEO;Euronext Growth Oslo;NOK;9.55;9.599;9.321;9.597;13/08/2021 16:25;CET;23402;223184.561
ARKEMA;FR0010313833;AKE;Euronext Paris;EUR;110.3;111.5;110.3;111.1;13/08/2021 17:35;CET;73356;8147708.3
ARKIMEDES FONDS;BE0945331669;-;Euronext Expert Market;EUR;4.18;4.18;4.18;4.18;10/08/2021 11:30;CET;20;83.6
ARMA;BE0051300847;-;Euronext Expert Market;EUR;-;-;-;-;-;CET;-;-
AROCA DEL PINAR;ES0105486007;MLARO;Euronext Access Paris;EUR;14.6;14.6;14.6;14.6;16/08/2020 00:00;CET;-;-
ARRIBATEC GROUP;NO0003108102;ARR;Oslo Børs;NOK;1.646;1.646;1.6;1.638;13/08/2021 15:54;CET;131750;213649.062
ARTEA;FR0012185536;ARTE;Euronext Paris;EUR;15.4;15.4;14.9;14.9;11/08/2021 16:06;CET;115;1723.5
ARTEFACT;FR0000079683;ALATF;Euronext Growth Paris;EUR;7.47;7.51;7.47;7.5;13/08/2021 17:35;CET;54809;410869.09
ARTMARKET COM;FR0000074783;PRC;Euronext Paris;EUR;5.5;5.59;5.45;5.56;13/08/2021 17:36;CET;6129;33923.56
ARTOIS NOM.;FR0000076952;ARTO;Euronext Paris;EUR;6400;6400;6400;6400;13/08/2021 16:34;CET;12;76800
ASCENCIO;BE0003856730;ASC;Euronext Brussels;EUR;50.4;50.7;50;50.6;13/08/2021 17:35;CET;3183;160757.4
ASETEK;DK0060477263;ASTK;Oslo Børs;NOK;102.2;102.2;89;90.8;13/08/2021 16:25;CET;167083;15555188.4
ASHLER ET MANSON;FR0012968485;MLAEM;Euronext Access Paris;EUR;2.18;2.18;2.18;2.18;29/06/2021 11:30;CET;175;381.5
ASIT;BE0974289218;ASIT;Euronext Brussels, Paris;EUR;0.3;0.307;0.297;0.297;13/08/2021 15:33;CET;22859;6817.601
ASM INTERNATIONAL;NL0000334118;ASM;Euronext Amsterdam;EUR;311.8;313.1;309.7;312.1;13/08/2021 17:35;CET;187516;58494992.8
ASML HOLDING;NL0010273215;ASML;Euronext Amsterdam;EUR;665;668;660;665.6;13/08/2021 17:39;CET;524214;348423860.7
ASR NEDERLAND;NL0011872643;ASRNL;Euronext Amsterdam;EUR;37.4;37.71;37.3;37.55;13/08/2021 17:35;CET;314295;11809949.64
ASSICURAZ.GEN.ORD.;IT0000062072;GEN;Traded not listed Brussels;EUR;17.02;17.385;17.02;17.385;11/08/2021 17:04;CET;97;1672.84
ASSYSTEM;FR0000074148;ASY;Euronext Paris;EUR;32.4;32.5;32.15;32.2;13/08/2021 17:35;CET;390;12634.15
ATARI;FR0010478248;ATA;Euronext Paris;EUR;0.375;0.376;0.352;0.359;13/08/2021 17:35;CET;4974779;1797622.093
ATEA;NO0004822503;ATEA;Oslo Børs;NOK;166.6;166.6;163.2;165;13/08/2021 16:25;CET;51766;8543249.4
ATEME;FR0011992700;ATEME;Euronext Paris;EUR;13.28;13.3;13.12;13.28;13/08/2021 17:35;CET;1982;26214.56
ATENOR;BE0003837540;ATEB;Euronext Brussels;EUR;60.6;60.8;60.4;60.8;13/08/2021 17:37;CET;1990;120719
ATLANTIC SAPPHIRE;NO0010768500;ASA;Oslo Børs;NOK;77;78.2;74.3;75.8;13/08/2021 16:26;CET;140289;10624938.6
ATOS;FR0000051732;ATO;Euronext Paris;EUR;43.92;44.14;43.18;43.47;13/08/2021 17:35;CET;671150;29265472.92
ATRIUM EUR REALEST;JE00B3DCF752;ATRS;Euronext Amsterdam;EUR;3.195;3.195;3.19;3.19;13/08/2021 09:23;CET;1860;5936.45
AUBAY;FR0000063737;AUB;Euronext Paris;EUR;47.7;48.25;47.15;47.3;13/08/2021 17:35;CET;2272;108391
AUDIENCE LABS;FR0011896463;MLAUD;Euronext Access Paris;EUR;5;5;4.98;4.98;04/08/2021 16:30;CET;12;59.8
AUDIOVALLEY;BE0974334667;ALAVY;Euronext Growth Paris, Brussels;EUR;3.7;3.7;3.6;3.62;13/08/2021 17:35;CET;8360;30295.53
AUGROS COSMETICS;FR0000061780;AUGR;Euronext Paris;EUR;4.3;4.3;4.3;4.3;11/08/2021 16:30;CET;99;425.7
AUPLATA MINING GR;FR0013410370;ALAMG;Euronext Growth Paris;EUR;0.0811;0.0833;0.08;0.0825;13/08/2021 17:35;CET;781702;63140.776
AUREA;FR0000039232;AURE;Euronext Paris;EUR;7.76;7.82;7.74;7.8;13/08/2021 17:26;CET;1055;8223.04
AURES TECHNOLOGIES;FR0013183589;AURS;Euronext Paris;EUR;28.5;28.5;28.5;28.5;13/08/2021 16:34;CET;86;2451
AURSKOG SPAREBANK;NO0006001601;AURG;Oslo Børs;NOK;214;214;212;212;13/08/2021 15:09;CET;1218;258576
AUSTEVOLL SEAFOOD;NO0010073489;AUSS;Oslo Børs;NOK;116.3;118;116.3;117.8;13/08/2021 16:25;CET;142029;16663165.8
AVANCE GAS HOLDING;BMG067231032;AGAS;Oslo Børs;NOK;41.2;41.2;40.32;41;13/08/2021 16:25;CET;154503;6297193.3
AVANTIUM;NL0012047823;AVTX;Euronext Amsterdam, Brussels;EUR;4.5;4.53;4.4;4.4;13/08/2021 17:35;CET;33972;151812.635
AVENIR TELECOM;FR0013529815;AVT;Euronext Paris;EUR;0.1036;0.1114;0.1034;0.105;13/08/2021 17:35;CET;2870085;304814.8292
AWILCO DRILLING;GB00B5LJSC86;AWDR;Oslo Børs;NOK;3.6;3.79;3.6;3.61;13/08/2021 13:04;CET;11634;41946.31
AWILCO LNG;NO0010607971;ALNG;Euronext Expand Oslo;NOK;2.11;2.17;2.1;2.16;13/08/2021 16:03;CET;161898;344799
AXA;FR0000120628;CS;Euronext Paris;EUR;24.235;24.445;24.21;24.445;13/08/2021 17:35;CET;3574139;87234056.16
AXACTOR;NO0010840515;ACR;Oslo Børs;NOK;9.8;9.81;9.63;9.77;13/08/2021 16:25;CET;654411;6373268.695
AXWAY SOFTWARE;FR0011040500;AXW;Euronext Paris;EUR;28.7;28.8;28.5;28.5;13/08/2021 17:19;CET;572;16402.7
AYFIE GROUP;NO0010793243;AYFIE;Euronext Growth Oslo;NOK;1.545;1.545;1.495;1.495;11/08/2021 12:33;CET;24500;36677.5
AZ LEASING;IT0004812258;MLAZL;Euronext Access Paris;EUR;0.57;0.57;0.57;0.57;10/11/2020 16:30;CET;303;172.71
AZOREAN TECH;PTAZR0AM0006;MLAAT;Euronext Access Paris;EUR;0.8;0.8;0.8;0.8;12/08/2021 16:57;CET;3509;2807.2
B&S Group;LU1789205884;BSGR;Euronext Amsterdam;EUR;9.14;9.14;8.88;9.1;13/08/2021 17:35;CET;42625;384666.75
B.COM.PORTUGUES;PTBCP0AM0015;BCP;Euronext Lisbon;EUR;0.1279;0.1286;0.1257;0.1271;13/08/2021 21:35;BST;17823354;2271946.759
